Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
MRUS,0,0,1,0,0.0,0.0,1
MRVL,2,2,2,2,0.0,2.0,10
MSEX,1,2,1,2,1.0,2.0,9
MSFT,2,2,2,0,1.0,1.0,8
MSON,1,2,1,2,0.0,0.0,6
MSTR,1,2,1,0,2.0,1.0,7
MSVB,2,1,2,1,0.0,,6
MTBC,1,2,1,2,0.0,0.0,6
MTCH,1,1,1,1,2.0,0.0,6
MTEM,0,0,0,0,0.0,0.0,0
MTEX,2,0,2,0,2.0,2.0,8
MTLS,1,0,3,0,0.0,0.0,4
MTSC,1,1,1,1,2.0,0.0,6
MTSI,0,2,0,2,1.0,0.0,5
MU,0,0,2,0,0.0,0.0,2
MVBF,0,1,0,1,2.0,1.0,5
MVIS,0,2,1,0,0.0,0.0,3
MWK,0,2,0,2,0.0,,4
MXIM,1,0,1,0,2.0,1.0,5
MYFW,0,3,0,3,0.0,2.0,8
MYRG,1,2,1,1,0.0,2.0,7
NAII,2,0,2,0,2.0,1.0,7
NAOV,2,2,1,3,0.0,0.0,8
NATH,0,1,1,2,0.0,1.0,5
NATI,3,0,3,0,2.0,0.0,8
NATR,1,2,1,2,0.0,1.0,7
NAVI,0,1,0,1,0.0,1.0,3
NBEV,2,1,3,1,0.0,0.0,7
NBIX,0,0,0,0,2.0,2.0,4
NBLX,0,0,1,0,2.0,0.0,3
NBN,2,1,2,1,1.0,1.0,8
NBRV,2,0,1,0,0.0,0.0,3
NBTB,0,0,0,0,0.0,0.0,0
NCBS,0,1,0,1,1.0,1.0,4
NCNO,1,1,1,0,,,3
NCSM,1,0,1,0,2.0,0.0,4
NDAQ,3,2,2,2,0.0,1.0,10
NDSN,1,0,1,0,2.0,0.0,4
NEO,1,1,1,1,3.0,0.0,7
NEON,1,0,1,0,0.0,0.0,2
NEOS,2,0,0,0,0.0,0.0,2
NEPH,1,1,1,1,0.0,0.0,4
NEPT,0,1,1,2,0.0,0.0,4
NETE,2,0,1,2,0.0,0.0,5
NEWT,0,2,0,2,2.0,1.0,7
NGM,0,0,1,0,0.0,,1
NH,1,2,1,0,0.0,0.0,4
NHLD,2,1,2,2,0.0,0.0,7
NICE,3,1,3,1,1.0,1.0,10
NICK,3,2,3,2,2.0,2.0,14
NIU,0,0,0,0,1.0,,1
NKSH,1,0,1,0,2.0,1.0,5
NKTR,0,2,0,2,0.0,0.0,4
NMFC,2,1,2,1,0.0,1.0,7
NMIH,1,0,2,0,3.0,0.0,6
NMRK,3,0,3,0,1.0,0.0,7
NNDM,3,0,3,0,0.0,0.0,6
NODK,2,2,2,1,2.0,2.0,11
NOVN,0,0,0,2,2.0,0.0,4
NOVT,3,0,2,0,2.0,2.0,9
NRC,1,1,1,1,1.0,1.0,6
NRIM,0,3,0,3,0.0,2.0,8
NSEC,1,1,0,1,0.0,3.0,6
NSIT,2,1,2,1,2.0,2.0,10
NSSC,1,1,3,1,1.0,1.0,8
NSTG,1,1,1,1,0.0,0.0,4
NSYS,0,0,0,1,2.0,1.0,4
NTAP,1,0,1,0,1.0,1.0,4
NTCT,3,0,1,0,2.0,0.0,6
NTES,0,3,2,3,1.0,1.0,10
NTGR,1,2,1,2,1.0,1.0,8
NTIC,3,0,3,0,2.0,0.0,8
NTLA,0,0,1,1,0.0,0.0,2
NTNX,2,0,2,0,0.0,0.0,4
NTRA,1,3,3,2,0.0,0.0,9
NTRS,1,0,1,0,0.0,0.0,2
NTUS,3,0,1,0,2.0,0.0,6
NUAN,3,3,1,0,2.0,1.0,10
NURO,1,2,1,0,2.0,0.0,6
NUVA,1,1,1,0,1.0,1.0,5
NVAX,0,0,0,2,0.0,0.0,2
NVCN,1,1,1,1,0.0,0.0,4
NVCR,0,1,1,1,1.0,2.0,6
NVDA,0,2,0,2,1.0,2.0,7
NVEC,2,0,2,0,2.0,0.0,6
NVEE,1,2,1,2,1.0,0.0,7
NVFY,0,0,1,0,0.0,0.0,1
NVMI,1,2,1,2,1.0,2.0,9
NWBI,1,1,1,1,1.0,0.0,5
NWE,3,0,3,1,3.0,0.0,10
NWFL,1,2,1,2,1.0,0.0,7
NWL,1,0,1,0,1.0,1.0,4
NWLI,2,1,2,1,1.0,2.0,9
NWPX,0,1,1,1,0.0,0.0,3
