Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
BG,2,2,3,2,2.0,2.0,13
BGS,1,0,1,0,0.0,0.0,2
BGSF,2,0,2,0,2.0,1.0,7
BH,2,0,2,0,1.0,2.0,7
BHC,1,2,1,2,1.0,0.0,7
BHE,1,0,1,0,1.0,0.0,3
BHLB,1,0,1,0,1.0,0.0,3
BHR,2,1,1,1,0.0,0.0,5
BIG,1,0,1,2,1.0,2.0,7
BIO,1,2,3,2,0.0,1.0,9
BIP,1,1,3,1,0.0,2.0,8
BJ,0,1,0,0,2.0,1.0,4
BK,0,0,0,0,0.0,1.0,1
BKD,1,0,0,0,0.0,0.0,1
BKE,1,2,1,2,1.0,3.0,10
BKH,3,3,3,0,3.0,2.0,14
BKI,2,1,3,0,2.0,0.0,8
BKR,2,0,3,0,2.0,0.0,7
BKU,2,0,2,0,2.0,1.0,7
BLD,1,0,1,0,1.0,1.0,4
BLK,1,2,1,2,0.0,3.0,9
BLL,1,2,1,2,0.0,1.0,7
BLX,3,1,3,1,2.0,1.0,11
BMA,1,2,1,2,0.0,2.0,8
BMI,1,2,1,2,1.0,1.0,8
BMO,2,1,2,1,2.0,0.0,8
BMY,1,3,3,3,1.0,0.0,11
BNED,2,0,2,0,2.0,0.0,6
BNS,1,1,1,1,3.0,0.0,7
BOH,3,1,3,1,2.0,0.0,10
BOOT,2,1,3,1,1.0,0.0,8
BORR,1,1,2,0,0.0,,4
BOX,1,0,1,0,0.0,0.0,2
BP,0,0,1,0,0.0,0.0,1
BR,2,0,2,2,0.0,0.0,6
BRBR,1,0,1,2,1.0,,5
BRC,1,0,1,0,0.0,1.0,3
BRFS,1,1,3,3,1.0,2.0,11
BRO,1,1,1,1,1.0,3.0,8
BRT,0,0,2,2,0.0,0.0,4
BRX,3,0,3,0,1.0,0.0,7
BSAC,3,2,3,2,1.0,0.0,11
BSBR,2,1,2,1,2.0,0.0,8
BSIG,1,3,1,0,3.0,0.0,8
BSM,3,0,3,0,1.0,0.0,7
BSMX,1,0,1,0,1.0,1.0,4
BSX,2,3,2,3,2.0,0.0,12
BTU,1,0,3,0,0.0,0.0,4
BUD,1,0,1,0,3.0,2.0,7
BURL,1,0,3,2,2.0,2.0,10
BVN,0,0,1,0,2.0,0.0,3
BW,2,1,2,0,2.0,0.0,7
BWA,1,0,1,0,1.0,0.0,3
BWXT,1,3,3,2,1.0,2.0,12
BX,0,1,0,1,1.0,2.0,5
BXC,2,1,2,1,1.0,0.0,7
BXMT,0,0,0,0,1.0,0.0,1
BXP,1,1,1,1,0.0,2.0,6
BXS,0,0,0,0,0.0,0.0,0
BY,1,0,1,0,1.0,1.0,4
BYD,1,1,1,1,1.0,1.0,6
BZH,1,2,1,2,1.0,2.0,9
C,1,1,1,1,1.0,0.0,5
CAAP,0,0,2,2,0.0,2.0,6
CABO,1,2,1,2,2.0,2.0,10
CACI,1,3,2,3,2.0,2.0,13
CADE,1,1,1,1,3.0,0.0,7
CAE,1,2,1,1,2.0,0.0,7
CAG,2,1,2,1,1.0,2.0,9
CAH,1,2,1,1,2.0,1.0,8
CAI,3,0,1,0,2.0,0.0,6
CAJ,3,0,3,0,2.0,0.0,8
CAL,3,2,3,2,2.0,2.0,14
CALX,1,2,1,2,1.0,2.0,9
CANG,3,2,3,2,3.0,,13
CAPL,0,2,1,0,2.0,2.0,7
CARS,1,0,1,0,2.0,0.0,4
CAT,3,0,2,0,1.0,0.0,6
CATO,1,1,1,0,0.0,1.0,4
CB,1,0,0,3,1.0,1.0,6
CBD,0,2,0,2,1.0,2.0,7
CBRE,3,0,3,0,1.0,0.0,7
CBT,1,0,1,0,2.0,1.0,5
CBU,1,0,1,0,1.0,0.0,3
CBZ,1,2,1,0,0.0,0.0,4
CC,1,2,1,0,1.0,2.0,7
CCI,1,0,1,0,2.0,0.0,4
CCJ,2,0,2,0,0.0,0.0,4
CCK,1,0,1,0,3.0,1.0,6
CCL,0,0,2,1,0.0,0.0,3
CCO,1,0,1,0,0.0,0.0,2
CCS,2,2,2,2,2.0,2.0,12
CCU,3,0,3,0,2.0,0.0,8
CDR,1,0,1,0,2.0,0.0,4
CE,1,0,1,0,3.0,2.0,7
CEIX,1,0,1,0,2.0,0.0,4
CELP,0,1,0,3,0.0,1.0,5
CEPU,2,0,2,0,1.0,1.0,6
CEQP,1,1,1,0,0.0,2.0,5
CF,2,0,2,0,2.0,1.0,7
CFG,2,0,2,0,2.0,0.0,6
CFR,1,0,1,0,0.0,0.0,2
CFX,1,1,1,1,1.0,2.0,7
CGA,2,0,2,0,0.0,1.0,5
CHD,0,3,3,2,1.0,3.0,12
CHE,1,3,1,1,2.0,2.0,10
CHGG,2,2,2,3,2.0,0.0,11
CHH,1,0,1,0,1.0,0.0,3
CHMI,2,0,2,0,0.0,0.0,4
CHS,3,0,3,0,0.0,0.0,6
CHT,0,0,3,2,0.0,2.0,7
CHWY,0,1,0,1,0.0,,2
CHX,1,2,1,2,2.0,0.0,8
CI,2,1,1,1,2.0,3.0,10
CIA,1,1,1,2,0.0,0.0,5
CIEN,1,1,1,1,1.0,1.0,6
CIM,1,1,1,1,1.0,0.0,5
CINR,2,2,2,2,2.0,1.0,11
CIO,1,0,1,0,2.0,1.0,5
CIR,0,1,2,1,0.0,0.0,4
CIT,0,0,0,0,1.0,1.0,2
CLB,2,0,2,0,3.0,1.0,8
CLDR,3,3,1,2,0.0,0.0,9
CLDT,1,0,1,0,0.0,0.0,2
CLF,1,0,0,2,2.0,0.0,5
CLGX,1,3,1,3,3.0,0.0,11
CLH,1,0,1,0,0.0,1.0,3
CLI,1,0,1,0,0.0,1.0,3
CLNC,0,0,0,0,2.0,0.0,2
CLPR,0,0,0,0,0.0,0.0,0
CLR,1,0,1,0,0.0,0.0,2
CLS,0,2,0,0,1.0,0.0,3
CLW,0,2,0,3,0.0,0.0,5
CLX,0,3,0,2,1.0,2.0,8
CM,2,0,2,0,1.0,0.0,5
CMA,0,0,0,0,0.0,0.0,0
CMC,1,1,1,1,0.0,0.0,4
CMCM,0,1,0,0,1.0,0.0,2
CMD,2,2,2,2,2.0,0.0,10
CMG,1,1,1,1,1.0,1.0,6
CMI,1,0,1,0,1.0,0.0,3
CMO,0,0,0,0,0.0,0.0,0
CMP,2,1,3,0,2.0,0.0,8
CMRE,2,1,2,1,2.0,1.0,9
CMS,1,3,3,0,1.0,2.0,10
CNA,2,1,2,1,2.0,1.0,9
CNC,0,2,1,3,0.0,1.0,7
CNF,1,0,1,0,1.0,,3
CNHI,1,0,3,0,1.0,0.0,5
CNI,1,1,3,0,1.0,0.0,6
CNK,2,0,1,0,0.0,0.0,3
CNMD,1,1,1,1,3.0,0.0,7
CNNE,1,1,1,0,0.0,2.0,5
CNO,2,2,2,0,0.0,1.0,7
CNP,1,1,3,1,2.0,1.0,9
CNQ,2,0,2,0,2.0,2.0,8
CNS,1,1,1,1,1.0,1.0,6
CNX,2,0,3,0,2.0,0.0,7
CO,3,2,3,2,0.0,2.0,12
COE,2,2,2,0,0.0,0.0,6
COG,3,0,3,0,0.0,0.0,6
COLD,3,1,3,3,1.0,1.0,12
COO,3,0,3,0,1.0,1.0,8
COP,1,0,1,0,0.0,0.0,2
COR,2,2,1,2,0.0,0.0,7
COTY,1,0,1,0,1.0,0.0,3
CP,3,0,3,0,2.0,1.0,9
CPA,2,1,3,0,0.0,1.0,7
CPAC,1,1,1,1,2.0,1.0,7
CPB,2,3,2,1,2.0,2.0,12
CPE,1,2,1,2,0.0,0.0,6
CPF,2,0,2,0,2.0,0.0,6
CPK,3,1,3,2,2.0,1.0,12
CPLG,2,0,2,1,0.0,0.0,5
CPRI,1,1,1,1,1.0,0.0,5
CPS,1,0,1,0,1.0,0.0,3
CPT,1,1,1,1,1.0,1.0,6
CR,1,0,1,0,1.0,2.0,5
