Date,Open,High,Low,Close,Adj Close,Volume,Zlema,PVT,MAMAFAMA,BuySellCount,BuySell
1981-09-16,0.0815,0.0815,0.0809,0.0809,0.0636,19353600,False,,,-1,0
1981-09-17,0.0792,0.0792,0.0787,0.0787,0.0619,19376000,False,,,-1,0
1981-09-18,0.0792,0.0798,0.0792,0.0792,0.0623,26320000,False,,,-1,0
1981-09-21,0.0798,0.0804,0.0798,0.0798,0.0627,49033600,False,,,-1,0
1981-09-22,0.0759,0.0759,0.0753,0.0753,0.0592,47420800,False,,,-1,0
1981-09-23,0.0748,0.0748,0.0737,0.0737,0.0579,28201600,False,,,-1,0
1981-09-24,0.0737,0.0737,0.0731,0.0731,0.0575,18300800,False,,,-1,0
1981-09-25,0.0647,0.0647,0.0636,0.0636,0.05,34608000,False,,,-1,0
1981-09-28,0.0642,0.0647,0.0642,0.0642,0.0505,91728000,False,,,-1,0
1981-09-29,0.0675,0.0681,0.0675,0.0675,0.0531,94684800,False,,,-1,0
1981-09-30,0.0681,0.0686,0.0681,0.0681,0.0535,49996800,False,,,-1,0
1981-10-01,0.0681,0.0686,0.0681,0.0681,0.0535,61129600,False,,,-1,0
1981-10-02,0.0737,0.0742,0.0737,0.0737,0.0579,45046400,True,True,,2,Buy
1981-10-05,0.0759,0.077,0.0759,0.0759,0.0597,43097600,True,,,1,0
1981-10-06,0.0759,0.0759,0.0753,0.0753,0.0592,28358400,True,,,1,0
1981-10-07,0.0798,0.0809,0.0798,0.0798,0.0627,38841600,True,,,1,0
1981-10-08,0.0826,0.0831,0.0826,0.0826,0.0649,31091200,True,,,1,0
1981-10-09,0.0831,0.0843,0.0831,0.0831,0.0654,54521600,True,,,1,0
1981-10-12,0.0859,0.0865,0.0859,0.0859,0.0676,27350400,True,,,1,0
1981-10-13,0.0859,0.0871,0.0859,0.0859,0.0676,44195200,True,,,1,0
1981-10-14,0.0815,0.0815,0.0809,0.0809,0.0636,30979200,True,,,1,0
1981-10-15,0.0826,0.0831,0.0826,0.0826,0.0649,29433600,True,,,1,0
1981-10-16,0.082,0.082,0.0815,0.0815,0.0641,36467200,False,,,-1,0
1981-10-19,0.0831,0.0837,0.0831,0.0831,0.0654,20585600,False,,,-1,0
1981-10-20,0.0876,0.0882,0.0876,0.0876,0.0689,35728000,True,,,1,0
1981-10-21,0.0876,0.0882,0.0876,0.0876,0.0689,76899200,True,,,1,0
1981-10-22,0.0876,0.0876,0.0871,0.0871,0.0685,32278400,True,,,1,0
1981-10-23,0.0854,0.0854,0.0848,0.0848,0.0667,27910400,True,,,1,0
1981-10-26,0.0848,0.0854,0.0848,0.0848,0.0667,27283200,True,,,1,0
1981-10-27,0.0865,0.0876,0.0865,0.0865,0.068,85590400,True,,,1,0
1981-10-28,0.0893,0.0898,0.0893,0.0893,0.0702,44172800,True,,,1,0
1981-10-29,0.0887,0.0887,0.0882,0.0882,0.0693,30486400,True,,,1,0
1981-10-30,0.0893,0.0898,0.0893,0.0893,0.0702,52729600,True,,,1,0
1981-11-02,0.0893,0.0898,0.0893,0.0893,0.0702,36915200,True,,,1,0
1981-11-03,0.0887,0.0887,0.0882,0.0882,0.0693,28380800,True,,,1,0
1981-11-04,0.0865,0.0865,0.0859,0.0859,0.0676,23811200,False,,,-1,0
1981-11-05,0.0804,0.0804,0.0798,0.0798,0.0627,23363200,False,,,-1,0
1981-11-06,0.0804,0.0809,0.0804,0.0804,0.0632,24595200,False,,,-1,0
1981-11-09,0.0815,0.082,0.0815,0.0815,0.0641,20384000,False,,,-1,0
1981-11-10,0.082,0.0826,0.082,0.082,0.0645,16755200,False,,,-1,0
1981-11-11,0.0843,0.0848,0.0843,0.0843,0.0663,27440000,False,,,-1,0
1981-11-12,0.0871,0.0876,0.0871,0.0871,0.0685,39916800,True,,,1,0
1981-11-13,0.0815,0.0815,0.0809,0.0809,0.0636,21011200,False,,,-1,0
1981-11-16,0.0804,0.0804,0.0798,0.0798,0.0627,22556800,False,,,-1,0
1981-11-17,0.0815,0.082,0.0815,0.0815,0.0641,35414400,False,,,-1,0
1981-11-18,0.0843,0.0848,0.0843,0.0843,0.0663,29142400,True,,,1,0
1981-11-19,0.0843,0.0848,0.0843,0.0843,0.0663,40006400,True,,,1,0
1981-11-20,0.0848,0.0854,0.0848,0.0848,0.0667,38102400,False,,,-1,0
1981-11-23,0.082,0.082,0.0809,0.0809,0.0636,22960000,False,,,-1,0
1981-11-24,0.0809,0.0809,0.0804,0.0804,0.0632,22153600,False,,,-1,0
1981-11-25,0.082,0.0826,0.082,0.082,0.0645,52550400,True,,,1,0
1981-11-27,0.0843,0.0848,0.0843,0.0843,0.0663,37251200,True,,,1,0
1981-11-30,0.0837,0.0837,0.0831,0.0831,0.0654,23968000,False,,,-1,0
1981-12-01,0.0831,0.0837,0.0831,0.0831,0.0654,23385600,False,,,-1,0
1981-12-02,0.0837,0.0843,0.0837,0.0837,0.0658,37564800,True,,,1,0
1981-12-03,0.0831,0.0831,0.0826,0.0826,0.0649,20428800,True,,,1,0
1981-12-04,0.0848,0.0854,0.0848,0.0848,0.0667,137155200,True,,,1,0
1981-12-07,0.0854,0.0859,0.0854,0.0854,0.0671,59292800,True,,,1,0
1981-12-08,0.0848,0.0848,0.0837,0.0837,0.0658,50624000,True,,,1,0
1981-12-09,0.0843,0.0848,0.0843,0.0843,0.0663,34272000,True,,,1,0
1981-12-10,0.0843,0.0848,0.0843,0.0843,0.0663,37408000,True,,,1,0
1981-12-11,0.0843,0.0848,0.0837,0.0837,0.0658,76092800,True,,,1,0
1981-12-14,0.082,0.082,0.0809,0.0809,0.0636,25244800,False,,,-1,0
1981-12-15,0.0831,0.0837,0.0831,0.0831,0.0654,31315200,False,,,-1,0
1981-12-16,0.0871,0.0876,0.0871,0.0871,0.0685,65452800,True,,,1,0
1981-12-17,0.0943,0.0949,0.0943,0.0943,0.0742,51452800,True,,,1,0
1981-12-18,0.1021,0.1027,0.1021,0.1021,0.0803,71724800,True,,,1,0
1981-12-21,0.0982,0.0982,0.0977,0.0977,0.0768,56403200,True,,,1,0
1981-12-22,0.0993,0.0999,0.0993,0.0993,0.0781,53827200,True,,,1,0
1981-12-23,0.0977,0.0977,0.0971,0.0971,0.0763,28896000,True,,,1,0
